taxon,rbcL,matK,ITS,trnL-trnF,
Clintonia borealis,AB056856.1,LM993138.1,,,
Coeloglossum viride,KJ451495.1,EF079300.1,DQ022882.1,,
Coleataenia anceps,HE573408.1,HE574089.1,AY129694.1,,
Coleataenia longifolia,,,,,
Coleataenia rigidula,,,,,
Collinsia verna,,HQ653458.1,AF385351.1,,
Collinsonia canadensis,Z37387.1,AY840148.1,JQ669087.1,AY570453.1,
Comandra umbellata,JX848536.1,DQ329192.1,,,
Comarum palustre,KF724289.1,JN896178.1,KF873766.1,AJ512237.1,
Commelina erecta,JQ591126.1,KJ772671.1,,EF092858.1,
Comptonia peregrina,DQ310505.1,U92856.1,DQ310501.1,AY263905.1,
Conioselinum chinense,KF613028.1,,U78374.2,,
Conopholis americana,,KC542156.1,KC480325.1,,
Coptis trifolia,AF093730.1,AB695565.1,,AB159540.1,
Corallorhiza maculata,EU391362.1,EF525700.1,EF525679.1,,
Corallorhiza odontorhiza,EU391360.1,EF525701.1,EF525683.1,KF514756.1,
Corallorhiza trifida,EU391357.1,EF525695.1,EF525677.1,KF514745.1,
Corallorhiza wisteriana,EU391361.1,EF525703.1,EF525685.1,KF514790.1,
Coreopsis lanceolata,HM849915.1,AY551495.1,KM347942.1,,
Coreopsis palmata,,AY551480.1,AY553673.1,EU047861.1,
Coreopsis tripteris,,AY551499.1,KM347936.1,,
Corispermum hyssopifolium,JQ693434.1,,,,
Cornus alba,KP088541.1,DQ340450.1,DQ340484.1,,
Cornus alternifolia,AF190432.1,U96889.1,DQ340526.1,JF321138.1,
Cornus canadensis,L11213.2,DQ341333.1,AY530913.1,JF321150.1,
Cornus drummondii,,,DQ340495.1,,
Cornus florida,EU002276.1,EU002175.1,DQ340537.1,AY254238.1,
Cornus obliqua,L11217.2,U96898.1,DQ340506.1,,
Cornus racemosa,DQ340445.1,DQ340470.1,DQ343138.1,JF321142.1,
Cornus rugosa,EU676910.1,DQ340471.1,DQ340516.1,,
Corydalis flavula,DQ006097.1,,DQ006011.1,,
Corydalis sempervirens,KM212113.1,LN610917.1,,HE603351.1,
Corylus americana,KF418949.1,AF297379.1,AF297349.1,AY211417.1,
Corylus cornuta,X56619.1,AF297373.1,AF297343.1,AY211419.1,
Crataegus calpodendron,,,EF127018.1,,
