taxon,rbcL,matK,ITS,trnL-trnF
Cardamine parviflora,,,DQ268404.1,
Cardamine pensylvanica,AF020324.1,,DQ268467.1,
Cardamine pratensis,KM360692.1,HM850749.1,KF988135.1,AY260636.1
Cardaria pubescens,,,,AY015920.1
Carduus acanthoides,,,JX867641.1,KC969560.1
Carduus nutans,KM360693.1,,JX867642.1,AF129825.1
Carex abdita,,,,
Carex acutiformis,JN892448.1,JN895249.1,AY278300.1,AF284891.1
Carex aggregata,HQ589984.1,HQ593201.1,EU000921.1,
Carex alata,KJ773337.1,,AY779066.1,
Carex albicans,,,AY325479.1,
Carex albolutescens,,,DQ115088.1,
Carex albursina,HQ589985.1,,AY757626.1,AY757554.1
Carex alopecoidea,,,EU000924.1,
Carex amphibola,DQ006088.1,FJ597181.1,DQ006000.1,
Carex annectens,,,DQ115092.1,
Carex aquatilis,KC482236.1,,AY278301.1,AF284892.1
Carex arctata,HQ589986.1,KJ840877.1,DQ998900.1,DQ998953.1
Carex argyrantha,,,AY779069.1,
Carex atherodes,,,,
Carex atlantica,,,DQ115104.1,
Carex aurea,HQ589987.1,HQ593202.1,DQ998901.1,AF284960.1
Carex bebbii,,,AY779071.1,
Carex bicknellii,,,AY757403.1,
Carex blanda,HQ589988.1,KJ513583.1,AY757627.1,AY757555.1
Carex brevior,KJ841157.1,,AY779075.1,
Carex bromoides,KJ773339.1,FJ597192.1,AY757404.1,AY757474.1
Carex brunnescens,KF977470.1,HQ593204.1,KF977435.1,AY757481.1
Carex bushii,,,,
Carex buxbaumii,,,AY278262.1,EU288428.1
Carex canescens,GQ469845.1,,AY757406.1,AF284888.1
Carex careyana,,,AF027482.1,
Carex cephaloidea,KJ841161.1,,AY757407.1,AY757465.1
Carex cephalophora,DQ006089.1,,AY757408.1,AY757466.1
Carex chordorrhiza,FJ548256.1,JN966176.1,AY757409.1,AY757485.1
Carex communis,KJ593266.1,KJ840878.1,DQ998906.1,AF284874.1
Carex comosa,KJ841167.1,,AY757575.1,AY757502.1
Carex conjuncta,,,EU000955.1,
Carex conoidea,,FJ597199.1,,
Carex crawei,,,,
Carex crawfordii,,,AY779089.1,
Carex crinita,KJ593268.1,,AY757589.1,
Carex cristatella,HQ589993.1,HQ593205.1,DQ115134.1,
Carex crus-corvi,,,AY757410.1,AY757469.1
Carex cryptolepis,,,JX409851.1,
Carex cumulata,,,AY779091.1,
Carex davisii,,,,
Carex debilis,HM849850.1,HM850839.1,AF285029.1,AF284927.1
Carex deweyana,HQ589994.1,KP273678.1,AY757412.1,AY757475.1
Carex diandra,KC482264.1,KC474313.1,AY699626.1,AF284924.1
Carex digitalis,KJ773343.1,,DQ998908.1,AF284933.1
Carex disperma,KJ841173.1,KJ840881.1,AY757414.1,AY757489.1
Carex duriuscula,,,DQ115164.1,
Carex eburnea,,,DQ998912.1,AF284898.1
Carex echinata,HM849852.1,JN895483.1,EU352224.1,AY757477.1
Carex emmonsii,,,,
Carex emoryi,,,GQ223598.1,
Carex festucacea,,,AY779098.1,
Carex flava,,,AY278310.1,
Carex folliculata,,,AY757601.1,AY757528.1
Carex formosa,,,,
Carex frankii,KJ773346.1,KJ772613.1,,
Carex garberi,KC482272.1,KC474320.1,,
Carex glaucodea,,,,
Carex gracilescens,,,,
Carex gracillima,KJ593272.1,KJ592879.1,DQ998918.1,
Carex granularis,HQ589995.1,,DQ998919.1,DQ998972.1
Carex gravida,,,EU001018.1,
Carex grayi,,,AY757580.1,AY757507.1
Carex grisea,,FJ597215.1,,
Carex haydenii,,,AY779106.1,
Carex hirsutella,,,,
Carex hirta,KJ841178.1,,AY278296.1,EU288437.1
Carex hirtifolia,HQ589996.1,,AY757611.1,AY757538.1
Carex hitchcockiana,,,AY757614.1,AY757541.1
Carex hystericina,HQ589998.1,HQ593207.1,AY757574.1,AY757501.1
Carex interior,HQ589999.1,,AY757419.1,
Carex intumescens,KJ773351.1,,KF977436.1,AY757506.1
Carex jamesii,,FJ597225.1,AF027465.1,
Carex lacustris,,,,
Carex laeviconica,,,,
Carex laevivaginata,,,AY757420.1,AY757470.1
Carex lasiocarpa,JX644625.1,JN895750.1,AY278297.1,AF284929.1
Carex laxiculmis,,,,
Carex laxiflora,HQ590002.1,HQ593210.1,AF284964.1,AF284862.1
Carex leavenworthii,,,EU001024.1,AF284931.1
Carex leptalea,KJ773353.1,KJ772619.1,AF285060.1,
Carex leptonervia,KJ593276.1,KJ592880.1,,
Carex limosa,JX644630.1,JN896254.1,AY278298.1,AF284899.1
Carex longii,KJ773354.1,KJ772620.1,JN903145.1,JQ653156.1
Carex lupuliformis,KJ773355.1,KJ772621.1,,
Carex lupulina,KJ773356.1,KJ772622.1,AY757576.1,AF284861.1
Carex lurida,KJ773357.1,KJ772623.1,AF284962.1,AF284860.1
Carex meadii,,,,
Carex mesochorea,,,DQ115216.1,
Carex molesta,,,AY779122.1,
Carex muehlenbergii,,,AY757422.1,AY757467.1
Carex muskingumensis,,,AY779126.1,
Carex nebrascensis,,,GQ223627.1,
Carex nigromarginata,,,AY325478.1,
Carex normalis,,,AY779127.1,
Carex oligocarpa,DQ006090.1,FJ597237.1,DQ006001.1,AY757542.1
Carex oligosperma,,,AY757578.1,AY757505.1
Carex pallescens,KJ841191.1,,AY278299.1,AF284895.1
Carex pauciflora,GQ469850.1,,AY757631.1,AF284881.1
Carex peckii,KJ841192.1,,DQ998940.1,
Carex pedunculata,HQ590005.1,HQ593213.1,AY757623.1,
Carex pellita,,,,
