Cuphea viscosissima,HM099538.1,
Cuscuta campestris,AY880318.1,
Cuscuta cephalanthi,AY554399.1,
Cuscuta compacta,AY558825.1,
Cuscuta coryli,EF194540.1,
Cuscuta glomerata,EF194644.1,
Cuscuta gronovii,AY554402.1,
Cuscuta pentagona,AY558821.1,
Cuscuta polygonorum,EU330298.1,
Cyclachaena xanthiifolia,,
Cycloloma atriplicifolium,HQ218997.1,
Cymbalaria muralis,AF513883.1,
Cynodon dactylon,GU359243.1,
Cynoglossum offlcinale,,
Cynoglossum virginianum,,
Cyperus acuminatus,KF146652.1,
Cyperus bipartitus,,
Cyperus dentatus,,
Cyperus diandrus,,
Cyperus echinatus,KF150549.1,
Cyperus erythrorhizos,KF193571.1,
Cyperus esculentus,KF193572.1,
Cyperus flavescens,KF150598.1,
Cyperus houghtonii,,
Cyperus lupulinus,KF150564.1,
Cyperus odoratus,KF150569.1,
Cyperus schweinitzii,,
Cyperus squarrosus,KF150583.1,
Cyperus strigosus,KF193574.1,
Cypripedium acaule,Z78525.1,
Cypripedium arietinum,JF796899.1,
Cypripedium candidum,EF370092.1,
Cypripedium parviflorum,Z78519.1,
Cypripedium reginae,JF796917.1,
Cypripedium x,,
Cystopteris bulbifera,,
Cystopteris fragilis,,
Cystopteris protrusa,,
Cystopteris tenuis,,
Dactylis glomerata,KJ598940.1,
Dalea candida,AY426778.1,
Dalea enneandra,,
Dalea foliosa,,
Dalea leporina,,
Dalea purpurea,AY426794.1,
Danthonia spicata,EU401313.1,
Dasiphora fruticosa,GU444027.1,
Dasistoma macrophylla,EU827881.1,
Datura stramonium,DQ006041.1,
Datura wrightii,JX467602.1,
Daucus carota,HE602376.1,
Decodon verticillatus,AY035752.1,
Delphinium tricorne,AF258770.1,
Dendrolycopodium obscurum,,
Deparia acrostichoides,,
Deschampsia caespitosa,AY237844.1,
Deschampsia flexuosa,AY237846.1,
Descurainia pinnata,HQ896603.1,
Descurainia sophia,AY230619.1,
Desmanthus illinoensis,AF458836.1,
Desmodium canadense,KM098891.1,
Desmodium canescens,KM098883.1,
Desmodium ciliare,KM098882.1,
Desmodium cuspidatum,,
Desmodium glabellum,,
Desmodium glutinosum,KM098880.1,
Desmodium illinoense,,
Desmodium marilandicum,KM098884.1,
Desmodium nudiflorum,KM098881.1,
Desmodium obtusum,,
Desmodium paniculatum,KM098886.1,
Desmodium rotundifolium,KM098889.1,
Desmodium sessilifolium,,
Dianthus armeria,JN589087.1,
Dianthus barbatus,GU440782.1,
Dianthus deltoides,JN589027.1,
Dianthus plumarius,GU440851.1,
Diarrhena americana,AF019798.1,
Dicentra canadensis,,
Dicentra cucullaria,,
Dichanthelium acuminatum,,
Dichanthelium boreale,,
Dichanthelium clandestinum,,
Dichanthelium commutatum,,
Dichanthelium depauperatum,,
Dichanthelium dichotomum,,
Dichanthelium latifolium,,
Dichanthelium leibergii,,
Dichanthelium linearifolium,,
Dichanthelium meridionale,,
Dichanthelium oligosanthes,,
Dichanthelium ovale,,
Dichanthelium perlongum,,
Dichanthelium portoricense,,
Dichanthelium sphaerocarpon,,
Dichanthelium spretum,,
Dichanthelium wilcoxianum,,
Didiplis diandra,HQ878351.1,
Diervilla lonicera,AF078722.1,
Digitalis grandiflora,AY591261.1,
Digitaria ciliaris,KF163612.1,
Digitaria flliformis,,
Digitaria ischaemum,,
Digitaria sanguinalis,AM404347.1,
Diodia teres,AM939443.1,
Dioscorea villosa,,
Diphasiastrum complanatum,,
Diphasiastrum tristachyum,,
Diplazium pycnocarpon,,
Diplotaxis muralis,,
Diplotaxis tenuifolia,AM905721.1,
Dipsacus fullonum,FJ745390.1,
Dipsacus laciniatus,,
Dirca palustris,GQ471038.1,
Distichlis spicata,GU359346.1,
Dodecatheon meadia,AF164016.1,
Doellingeria umbellata,AF046966.1,
Draba brachycarpa,DQ467618.1,
Draba reptans,DQ467608.1,
Draba verna,DQ467575.1,
Dracocephalum parviflorum,JQ669097.1,
Dracopis amplexicaulis,,
Drosera intermedia,JN388069.1,
Drosera rotundifolia,AB355664.1,
Drymocallis arguta,U90787.1,
Dryopteris carthusiana,,
Dryopteris celsa,,
Dryopteris clintoniana,,
Dryopteris cristata,,
Dryopteris fllix-mas,,
Dryopteris goldiana,,
Dryopteris intermedia,KF977439.1,
Dryopteris marginalis,,
Dulichium arundinaceum,DQ998949.1,
Dysphania ambrosioides,FJ980362.1,
Dysphania botrys,DQ499336.1,
Dyssodia papposa,AF413603.1,
